Reporter Identifier	VALUE	S_N_P/4a-1_OKhymenets_220905
105080	2475.03	12.22
105082	15618.86	56.42
105086	450.87	1.94
105087	4935.91	30.34
105091	321.87	1.14
105093	331.91	0.6
105095	721.66	2.96
105105	17533.65	16.89
105110	470.68	-0.59
105113	1209.43	5.42
105114	229.82	-0.38
105117	277.04	0.24
105119	1097.14	1.7
105120	86484	119.43
105123	238.74	-2.42
105128	308.27	-0.92
105130	7911.5	38.44
105150	1551.62	9.26
105151	443.01	2.11
105152	329.47	1.72
105155	583069	85.31
105160	2302.14	5.2
105163	408.71	2.42
105165	24060.64	1.64
105172	24160.11	45.83
105173	30885.53	52.51
105191	377.52	0.64
105194	46204.44	89.96
105195	420.48	0.33
105197	554.62	2.59
105207	324.89	0.08
105208	32574.54	62.09
105211	215220.75	65.06
105226	25964.86	52.34
105227	6411.34	24.16
105239	11691.72	41.32
105242	8676.45	13.88
105249	199.42	3.02
105251	2590.34	10.27
105258	2014.4	4.35
105260	5042.1	19.42
105265	3471.94	12.29
105266	3673.34	17.16
10526619	1945.16	8.06
105271	8272.91	38.06
105274	48887.82	80.9
105275	725.62	1.79
105279	1505.43	4.69
105288	1772.45	3.77
